title,abstract,structured_text,Accuracy,Completeness
Benchmarking EEG-based Cross-dataset Driver Drowsiness Recognition with Deep Transfer Learning,"It usually takes a long time to collect data for calibration when using electroencephalography (EEG) for driver drowsiness monitoring. Cross-dataset recognition is desirable since it can significantly save the calibration time when an existing dataset is used. However, the recognition accuracy is affected by the distribution drift problem caused by different experimental environments when building different datasets. In order to solve the problem, we propose a deep transfer learning model named Entropy-Driven Joint Adaptation Network (EDJAN), which can learn useful information from source and target domains simultaneously. An entropy-driven loss function is used to promote clustering of target-domain representations and an individual-level domain adaptation technique is proposed to alleviate the distribution discrepancy problem of test subjects. We use two public driving datasets SEEG-VIG and SADT to test the model on the cross-dataset setting. The proposed model achieved an accuracy of 83.3% when SADT is used as source domain and SEED-VIG is used as target domain and 76.7% accuracy on the reverse setting, which is higher than the other SOTA methods. The results are further analyzed with both global and local interpretation methods. Our work illuminates a promising direction of using EEG for calibration-free driver drowsiness recognition.","{'operator type': ['driver'], 'data acquisition methods': ['eeg']}",10,7
"THE SMART AUTOMOBILE (SAM): An Application Based on Drowsiness Detection, Alcohol Detection, Vital Sign Monitoring and Lane based Auto Drive to avoid Accidents","In today's rapidly developing world where every industry's progress is contributing to adding comfort and safety to human life, the automobile industry is focusing on introducing safe, reliable and autonomous vehicles to save humans from some unbearable losses. Our research aims to serve the purpose of avoiding road accidents caused due to driver's hypo-vigilance, drunk driving or sudden health issues. The proposed system is an SoC (System on Chip) that can be easily installed in the car, it is able to accurately monitor the driver's state while driving and upon observing incapability of driving, the system switches to auto drive mode followed by a safe parking in the left lane. The developed system comprises of four parts. The drowsiness detection sub-system monitors the driver's drowsiness by employing the image processing techniques to detect his face and eyes and determine his drowsy state on the basis of Eye Aspect Ratio (EAR). Alcohol is detected by analyzing the Blood Alcohol Concentration (BAC) levels of driver's continuously, vital signs i.e., heart rate and electrocardiogram (ECG) is measured within the car and if it is observed as being abnormal, the information is coordinated with the driver and with the aid of GSM/GPRS module, information is also forwarded to some concerned family member and emergency helpline. Upon detection of any abnormality by any of the sub-systems, the car switches to auto drive mode. This purpose is served by the auto driving subsystem. Each sub-system developed for the realization of this project is user friendly and easily adaptable within the car. The sub-systems are developed keeping cost, size, reliability and real time response constraints in consideration. Upon testing the system in real world driving scenarios, considerable accuracies are achieved by each sub-system. However, every proposed solution is subjected to some new challenges. The future research may contribute to monitor and avoid more causes of accidents for ensuring human safety and realize a system capable of wide range, safe and reliable autonomous driving.","{'operator type': ['driver'], 'data acquisition methods': ['ecg', 'bac', 'image processing']}",7,6
Non-Intrusive Driver Condition Monitoring in Highly Automated Vehicles with Medical Information Support for Emergency Calling,"The paper presents a solution for non-intrusive monitoring of driver state (drowsiness and health condition) designed for highly automated vehicles, where the presence and degree of attention of the driver need to be assessed for road traffic safety purposes. A specific machine-learning algorithm is developed for this purpose. In the context of connected and (semi)autonomous car environment, truck platooning etc., a contactless detection of biomedical condition of the driver or passengers can be beneficial for traffic safety.","{'operator type': ['driver'], 'data acquisition methods': ['none']}",5,5
Detecting Driver Sleepiness from EEG Alpha Wave during Daytime Driving,"Drowsy driving is the main reason for sleep-related crashes. We have observed that an alpha wave attenuation-disappearance phenomenon and a typical alpha blocking phenomenon commonly exist in the eye closure events during daytime simulated driving experiments. These two alpha-related phenomena prove to respectively represent two different sleepiness levels: the sleep onset and the relaxed wakefulness. Therefore, we propose a novel algorithm for tracking the alpha wave change and detecting the two alpha-related phenomena in real-time for recognizing driver sleepiness. Our proposed algorithm adopts continuous wavelet transform for charactering the signal change and support vector machine for classification. The experimental results indicate that the algorithm is able to detect the start and end points of alpha waves during eye-closed period and distinguish the two types of end points of alpha waves in two alpha-related phenomena with high sensitivity and precision. The eye-closed period detected by our algorithm with alpha waves has a high overlapping rate with that marked by human experts. The main contributions of the proposed algorithm are twofold: to detect alpha waves during the eye-closed period in real-time and serve as an indicator for judging the current sleepiness level as the sleep onset or relaxed wakefulness at the end points of alpha waves.","{'operator type': ['driver'], 'data acquisition methods': ['eeg']}",9,7
A Driver Fatigue Detection Algorithm Based on Dynamic Tracking of Small Facial Targets Using YOLOv7,"Driver fatigue detection has become crucial in vehicle safety technology. Achieving high accuracy and real-time performance in detecting driver fatigue is paramount. In this paper, we propose a novel driver fatigue detection algorithm based on dynamic tracking of Facial Eyes and Yawning using YOLOv7, named FEY-YOLOv7. The Coordinate At-tention module is inserted into YOLOv7 to enhance its dynamic tracking accuracy by focusing on coordinate information. Additionally, a small tar -get detection head is incorporated into the network architecture to promote the feature extraction ability of small facial targets such as eyes and mouth. In terms of compution, the YOLOv7 network architecture is significantly simplified to achieve high detection speed. Using the proposed PERYAWN algorithm, driver status is labeled and detected by four classes: open eye, closed eye, open mouth, and closed mouth. Furthermore, the Guided Im-age Filtering algorithm is employed to enhance image details. The pro-posed FEY-YOLOv7 is trained and validated on RGB-infrared datasets. The results show that FEY-YOLOv7 has achieved mAP of 0.983 and FPS of 101. This indicates that FEY-YOLOv7 is superior to state-of-the-art methods in accuracy and speed, providing an effective and practical solu-tion for image-based driver fatigue detection.","{'operator type': ['driver'], 'data acquisition methods': ['eye tracking', 'facial expressions']}",8,7
Tracker for Sleepy Drivers at the Wheel,"Sleepiness behind the wheel is the major contribution to fatal accidents. Recognizing the drowsiness of the driver is one of the surest methods for measuring driver drowsiness. In this paper a tracker has been created which plans to evaluate driver's fatigue, exhaustion, and diversion throughout driving. The framework composed is a non-intrusive constant checking framework and it consists of camera which keeps a vigilant eye on driver's movements to detect drowsiness. The algorithm developed is unique to any currently published papers, which was a primary objective of the project. The system deals with detecting eyes in an extracted image from video input. All the possible actions have been considered and output is generated accordingly. Drowsiness is determined by observing the eye blinking patterns of the driver. If eyes are found to be closed for a particular time period given by threshold value, the framework reaches the determination that the driver is nodding off and issues a notice flag. The system is implemented using Haar cascade object detector using OpenCV (Open Source Computer Vision Library), which detects eyes from the input image. The system is also able to work under low lighting conditions.","{'operator type': ['driver'], 'data acquisition methods': ['eye tracking']}",6,5
Detecting Driver Drowsiness Based on Single Electroencephalography Channel,"In the recent years, driver drowsiness has been considered one of the major causes of road accidents, which can lead to severe physical injuries, deaths and important economic losses. As a consequence, a reliable driver drowsiness-detection-system is necessary to alert the driver before an accident happens. For this reason, an Electroencephalogram (EEG) has recently drawn attention in the field of brain-computer interface and cognitive neuroscience to control and predict the human drowsiness state. Our objective in this work, is to proposed an automatic approach to detect the occurrence of driver drowsiness onset based on the Artificial Neuronal Network (ANN) and using only one EEG channel. In this study, an experiment has been conducted on ten human subjects using nine features computed from one EEG channel using the Fast Fourier Transform(FFT). After introducing these features in an ANN classifier, we have obtained a classification accuracy rate of 86.1% and 84.3% of drowsiness and alertness detection. All features used in this work are easy to calculate and can be determined in real time, which makes this approach adapted for embedded implementation.","{'operator type': ['driver'], 'data acquisition methods': ['eeg']}",9,10
Drowsiness Estimation Based on Facial Near-Infrared Images Using Sparse Coding,"Level 3 automated driving mandates the installation of a driver monitoring system that monitors the driver's condition, such as drowsiness. Conventional drowsiness detection has been hampered by the mental and physical burden of wearing equipment and the time required for detection. In this study, we applied sparse coding to facial images captured with near-infrared light to extract features of facial skin blood flow information related to drowsiness and to estimate drowsiness. As a result, skin blood flow features related to drowsiness were extracted in the nasal area and other areas, and drowsiness was estimated with 74.6% accuracy. (c) 2023 Institute of Electrical Engineer of Japan and Wiley Periodicals LLC.","{'operator type': ['driver'], 'data acquisition methods': ['facial near-infrared images', 'skin blood flow information']}",7,6
Drowsy Driving Warning System based on GS1 Standards with Machine Learning,"Drowsy driving is the primary cause of motor vehicle accidents and is a risk factor that leads to the loss of human life, remaining as a challenge for the global automotive industry. Recently, drowsy monitoring system has been actively studied for prediction system based machine learning. However, the challenges of automotive real-time constraints and flexibility should be taken into consideration against a large amount of heterogeneous data from vehicle network and other device. To solve this problem, we propose drowsy monitoring system based machine learning using GS1 standard. First, vehicle motion data is defined and modeled using the GS1 standard language for drowsy predict. Second, we propose an optimal algorithm selection and detail architecture for automotive real-time environments through machine learning algorithms (KNN, Naive Bayes, Logistic Regression) and deep learning algorithms (RNN-LSTM). Finally, we describe system-wide integration and implementation through the open source hardware Raspberry Pi and the machine learning SW framework We provide optimal LSTM architecture and implementation that takes into account the real-time environmental conditions and how to improve the readability and usability of the vehicle motion data. We also share the rapid prototyping methodology case of connected car systems without other sensor devices.","{'operator type': ['driver'], 'data acquisition methods': ['vehicle motion data']}",7,6
New biomarkers for the assessment of fatigue evoked by long-term sleep deprivation based on pupillary light reflex using rheological models,"Background: The pupillary reflex (PLR) can be used to describe the function of individual segments of the visual pathway. It is modulated by the autonomic nervous system (ANS) and clinical disorders. The results of the research on the PLR parameterization methods presented in the article show that it is possible to use the phenomenon of pupil contraction as a result of light stimulation to assess the level of sleepiness. Currently, the PLR reflex is mainly used as the primary tool to study the integrity of the sensory and motor functions of the eye. Emergency medicine physicians routinely test the pupil light reflex to assess brain -stem function. Methods: The study utilized a method for estimating the fatigue level caused by 48-hour sleep deprivation under standardized and controlled conditions through the development and implementation of the Kelvin-Voigt rheology model (KV), explaining the dynamics of the pupillary light reflex. The baseline parameters for the model were as follows: parasym-pathetic force (fp), sympathetic force (fs), pupil radius in rest conditions (r0), onset time: parasympathetic system (tp), onset time: sympathetic system (ts), product fp x tp and pro-duct fs x ts. These parameters were subject to a statistical analysis of variance and com-pared with the parameters determined by the pupillographic assessment system by AmTech, such as contraction velocity (CV), relative amplitude (RA), pupil diameter (DDil1-fast), pupil diameter (DDil2-slow), latency (Lat), time of minimum diameter (TMD), contrac-tion time (CT), redilation time (RT).Results: The statistical analysis involved the data obtained in the research experiment on a group of 18 healthy volunteers enrolled in our study (range 26-32 years, fifty percent of the study group were female). Based on the parameters from the KV model developed, the sta-tistical significance for the model indicators was determined, i.e, fp, r0, tp, ts and fp x ts, com-pared at different levels of sleep deprivation of 48 h. In addition, analysis of the determined indicators, via the AmTech pupillographic system, demonstrated that an increased level of sleep deprivation does not only result in a change in the slope and amplitude of the curve of the pupil diameter in the contraction phase, which is visualized by the CV, RA, CT param-eters, but also in the pupil dilation curve shape (Dil1-fast, Dil2-slow, RT). Sleep deprivation was observed to cause an increase of TMD and Lat. Correlation analysis presented the strongest correlations between fp and the contraction velocity r = 0.73 (p < 0.05) and the minimum pupil diameters as expressed by the RA values: 0.66 (p < 0.05). The force fp, orig-inating from the parasympathetic system, was correlated with redilation time - i.e., the lar-ger the force, the shorter the time: -0.52 (p < 0.05). It also affected the value of the pupil diameter at the end of dilatation (DDil2-slow) r = 0.49 (p < 0.05).The delay in the force tp, originating from the parasympathetic nervous system (PNS), increased the duration of pupil contraction time. In this case, the correlation coefficient was r = 0.73 (p < 0.05). This was also facilitated by a delay (ts) on the part of the sympathetic nervous system (SNS), leading to a delay in dilatation and thus facilitating unrestrained pupil constriction. The correlation coefficient was r = 0.7 (p < 0.05).The controlled level of sleepiness, assessed via the Stanford Sleepiness Scale (SSS) test, had increased by about 150% by the end of the experiment.Conclusion: The results of the studies indicate that the fatigue biomarkers, as determined during the pupil dilation phase (DDil1-fast, DDil2-Slow), as well as the new method for describing the dynamics of the PLR, can provide an effective and specific indicator of sleepi-ness levels. These results are also confirmed by an analysis of the Stanford Sleepiness Scale assessment results.In addition, the use of the KV rheological model to describe the curve of the pupillary reflex makes it possible, through the designated parameters of the model, to independently assess the sympathetic (fs, ts) and parasympathetic (tp, tp) activation of the autonomic ner-vous system.(c) 2022 Nalecz Institute of Biocybernetics and Biomedical Engineering of the Polish Academy of Sciences. Published by Elsevier B.V. All rights reserved.","{'operator type': ['none'], 'data acquisition methods': ['pupillary light reflex', 'pupillographic assessment']}",9,7
Driver Fatigue Detection System,"Drowsiness detection system is based on identifying suitable driver-related and/or vehicle related variables that are correlated to the drivers level of drowsiness. International statistics shows that a large number of road accidents are caused by driver fatigue. Therefore, a system that can help to increase vigilance of the driver and make him alert from fatigue state by issuing timely warning could help to prevent many accidents, and consequently save money and reduce personal suffering. In this report, various method to detect driver fatigue have been described, which are non-intrusive and intelligence is provided by using soft computing tools. The pros and cons of each method have been explained and conclusions have been drawn from the same.","{'operator type': ['driver'], 'data acquisition methods': ['none']}",5,5
A partial least squares regression-based fusion model for predicting the trend in drowsiness,"This paper proposes a new technique of modeling driver drowsiness with multiple eyelid movement features based on an information fusion technique-partial least squares regression (PLSR), with which to cope with the problem of strong collinear relations among eyelid movement features and, thus, predicting the tendency of the drowsiness. With a set of electro-oculogram signals measured in an experiment conducted in Sweden, 14 typical eyelid movement features are first extracted. Then, statistical analyses from 20 subjects indicate that the eyelid movement parameters can characterize a driver's degree of drowsiness. The intrinsic quantitative relationships between eyelid movement features and driver drowsiness degree are modeled by PLSR analysis. The developed model provides a framework for integrating multiple sleepiness features together and defining the contribution of each feature to the decision and prediction result. The predictive precision and robustness of the model thus established are validated, which show that it provides a novel way of fusing multifeatures together for enhancing our capability of detecting and predicting the state of drowsiness.","{'operator type': ['driver'], 'data acquisition methods': ['eog']}",8,7
Reliability of the Watch-PAT 200 in Detecting Sleep Apnea in Highway Bus Drivers,"Objective: To predict the validity of Watch-PAT (WP) device for sleep disordered breathing (SDB) among highway bus drivers.Method: A total number of 90 highway bus drivers have undergone polysomnography (PSG) and Watch-PAT test simultaneously. Routine blood tests and the routine ear-nose-throat (ENT) exams have been done as well.Results: The sensitivity, specificity, positive predictive value (PPV) and negative predictive value (NPV) were 89.1%, 76.9%, 82% and 85.7% for RDI > 15, respectively. WRDI, WODI, W < 90% duration and Wmean SaO(2) results were well correlated with the PSG results. In the sensitivity and specificity analysis, when diagnosis of sleep apnea was defined for different cut-off values of RDI of 5, 10 and 15, AUC (95% CI) were found as 0.84 (0.74-0.93), 0.87 (95% CI: 0.79-0.94) and 0.91 (95% CI: 0.85-0.97), respectively. There were no statistically significant differences between Stage1+2/Wlight and Stage REM/WREM. The percentage of Stage 3 sleep had difference significant statistically from the percentage of Wdeep. Total sleep times in PSG and WP showed no statistically important difference. Total NREM duration and total WNREM duration had no difference either.Conclusion: Watch-PAT device is helpful in detecting SDB with RDI > 15 in highway bus drivers, especially in drivers older than 45 years, but has limited value in drivers younger than 45 years old who have less risk for OSA. Therefore, WP can be used in the former group when PSG is not easily available.","{'operator type': ['driver'], 'data acquisition methods': ['watch-pat', 'polysomnography (psg)']}",6,5
Eye-gaze Tracking Method Driven by Raspberry PI Applicable in Automotive Traffic Safety,"This paper comes as a response to the fact that, lately, more and more accidents are caused by people who fall asleep at the wheel. Eye tracking is one of the most important aspects in driver assistance systems since human eyes hold much in-formation regarding the driver's state, like attention level, gaze and fatigue level. The number of times the subject blinks will be taken into account for identification of the subject's drowsiness. Also the direction of where the user is looking will be estimated according to the location of the user's eye gaze. The developed algorithm was implemented on a Raspberry Pi board in order to create a portable system. The main determination of this project is to conceive an active eyetracking based system, which focuses on the drowsiness detection amongst fatigue related deficiencies in driving.","{'operator type': ['driver'], 'data acquisition methods': ['eye gaze tracking']}",9,6
Multibin Breathing Pattern Estimation by Radar Fusion for Enhanced Driver Monitoring,"Monitoring the status of the driver is a crucial aspect of health monitoring inside vehicles as it helps to identify potential health or safety risks that could affect a driver's ability to operate a vehicle safely. This includes monitoring for fatigue, distraction, or impairment, among other things, which can potentially cause car crashes. Although many solutions for health monitoring in private vehicles have been proposed, most of them are inconvenient to use or have the risk of leaking private information. Radars have the potential to address the above drawbacks by their inherent privacy protection and contactless operation in addition to their high accuracy, convenience, affordable price, and resilience to environmental factors. Among many possible radar configurations, millimeter Frequency Modulated Continuous Wave (FMCW) radars can accurately detect range and monitor displacements that are essential in breathing pattern monitoring. Breathing pattern monitoring is one of the key signatures of the driver's health. An accurate estimation of the breathing pattern enables the detection of breathing abnormalities, including Tachypnea, Bradypnea, Biot, Cheyne-Stokes, and Apnea. The breathing pattern can be estimated from both the chest and abdomen. For this purpose, we employed two 60-GHz FMCW radars. The proposed algorithm is capable of detecting the mentioned breathing abnormalities through breathing rate (BR) estimation and breath-hold period detection. In addition, the proposed method in this article estimates BR based on the multiple range bins. We conducted a study on the human radar geometry problem inside a vehicle to determine the accurate number of range bins for BR estimation. The experimental results demonstrate a maximum BR error of 1.9 breaths/min using the proposed multibin technique. In addition, the dual radar fusion system can detect breath-hold periods with minimal false detections.","{'operator type': ['driver'], 'data acquisition methods': ['radar fusion', 'contactless']}",5,5
Yawning detection for determining driver drowsiness,"A system aiming at detecting driver drowsiness or fatigue on the basis of video analysis is presented. The focus of this paper is on how to extract driver yawning. A real time face detector is implemented to locate driver's face region. Subsequently, Kalman filter is adopted to track face region. Further, mouth window is localized within face region and degree of mouth openness is extracted based on mouth features to determine driver yawning in video. The system will reinitialize when occlusion or miss-detection happen. Experiments are conducted to evaluate the validity of the described method.","{'operator type': ['driver'], 'data acquisition methods': ['behavioral data acquisition']}",6,5
A Circuit Design by Using an Infrared Sensor Transmitter and Pic16f628 to Measure the Pulse Rate of the Driver,"This study involves a circuit which is made in order to prevent traffic accidents caused by tiredness of the driver and sleepiness. Infrared light emitting diode and infrared phototransistor are used to track driver's body values during vehicle driving. The pulse value, which can increase or decrease directly proportional to the heart rate, can be controlled with the help of this infrared light emitting diode and infrared phototransistor. Peripheral interface controller is used in the construction of the system. The blood pressure was transformed to an electronic signal with infrared receiver and infrared transmitter by checking the heartbeats. This electronic signal was processed with peripheral interface controller and the system was constructed. In application, the pulse rate of the driver is continuously measured, and these values are shown on a small display permanently. It is installed on a portable steering wheel which can be used in the automotive industry. The process of waking the driver up can be made by raising the voice of music and with the vibration of the seat.","{'operator type': ['driver'], 'data acquisition methods': ['infrared sensor', 'physiological data acquisition']}",8,6
Driver fatigue detection based on prefrontal EEG using multi-entropy measures and hybrid model,"The development of a real-time monitoring and warning platform for driver fatigue detection is of great importance to avoid traffic accidents and fatalities. Due to the explosive growth of biosignal data, especially electroencephalogram (EEG) signals, generated in the wearable-IoT age, the practical application and recognition stability of these signals should be considered and further studied. The application of EEG signals, especially prefrontal EEG, is a potential key method for effectively determining when a driver is experiencing fatigue, which would promote the development of wearable devices for fatigue warning. In this work, we reported a rapid and effective forehead EEG-based multientropy feature-driven fatigue identification framework using a robust hybrid model. This method investigated and utilized several common entropies to enhance the characteristic quality of EEG signal, and yielded a better expected outcome than those of several classical algorithms due to the hybrid model. The experimental results using prefrontal EEG for assessing driver fatigue showed that the proposed method is convenient and effective, as validated by 32 healthy participants through double-layer nested cross validation. In addition, multi-entropy measures were evaluated for single-channel EEG fatigue detection, and the results showed that wavelet log-energy entropy (WLE) outperformed the other entropy indices with a better recognition rate and higher computational efficiency. We demonstrated that multientropy fusion was able to significantly increase detection quality. This study provided a new strategy of using prefrontal EEG signals to construct a high-efficiency method for detecting driver fatigue, which could possess great potential for real-time single-channel signal analysis.","{'operator type': ['driver'], 'data acquisition methods': ['eeg']}",6,5
PRIV-DRIVE: Privacy-Ensured Federated Learning using Homomorphic Encryption for Driver Fatigue Detection,"Context: Detecting fatigue in drivers has become increasingly important for safe driving, especially with the use of more smart devices and Internet-connected vehicles. While sharing data between vehicles can enhance fatigue detection systems, privacy concerns pose significant barriers to this sharing process. We propose a Federated Learning (FL) approach for monitoring fatigue-driven behavior to address these challenges. However, there is a concern that the drivers' private information might be leaked in the FL system. In this paper, we introduce PRIV-DRIVE, a novel approach for privacy-enhanced fatigue detection applications. Our method integrates Paillier homomorphic encryption (PHE) with a top-k parameter selection technique, bolstering privacy and confidentiality in federated fatigue detection systems. This approach reduces communication and computation overhead while ensuring model accuracy. To the best of our knowledge, this is the first paper to implement PHE in FL setups for fatigue detection applications. We ran several experiments and evaluated the PRIV-DRIVE method. The results show substantial efficiency gains with different HE key sizes, reducing computation time by up to 96% and communication traffic by up to 95%. Importantly, these improvements have minimal impact on accuracy, effectively meeting the requirements of fatigue detection applications.","{'operator type': ['driver'], 'data acquisition methods': ['none']}",10,6
Visual-based Real Time Driver Drowsiness Detection System Using CNN,"The traffic accident is one of the most frequent cause of death in the world; and an important cause of the traffic accident is the fatigue of the driver, who falls asleep during driving. To overcome this problem in this paper, we propose a real-time driver drowsiness detection system, in which the driver's face region is extracted and introduced into a specific designed shallow convolutional neural network (SS-CNN). The SS-CNN detects the state of driver drowsiness using eye closure or eye open state. To distinguish between the eye closed state caused by normal eye blinking and that caused by drowsiness, the proposed system analyzes consecutive results of the SS-CNN. If the system determines that driver falls asleep, an alarm rings to awake the driver in order to avoid a possible accident. The proposed SS-CNN provides an accuracy of 98.95%, which outperforms the previous works. In the experimental section, we provide several links in which real-time operations of the proposed system can be observed.","{'operator type': ['driver'], 'data acquisition methods': ['behavioral data acquisition']}",7,5
Vision Based Composite Approach for Lethargy Detection,this paper presents a fatigue detection techniques based on computer vision. Fatigue is detected from face and facial features of driver. Hybrid method is used for face and facial feature detection which not only increase the accuracy of the system but also decrease the processing time. Skin color pixels detection and viola Jones methods is used for face detection and knowledge based division method is used to increase the accuracy of facial feature detection. Also a dynamic threshold value is used for yawning and eyes status detection. The average yawning false alarm rate is 1.5% and closed eyes false alarm rate is 0.13%. Algorithm is developed in MATLAB software. The average accuracy of the system is 97.7%.,"{'operator type': ['driver'], 'data acquisition methods': ['face detection', 'skin color pixels detection', 'facial feature detection', 'dynamic threshold value for yawning', 'dynamic threshold value for eyes status']}",7,6
Anti-Fatigue and Collision Avoidance Systems for Intelligent Vehicles with Ultrasonic and Li-Fi Sensors,"Intelligent vehicles can assist the drivers to improve the safety, comfort, sustainability and efficiency. Intelligent vehicles use emerging technologies in modeling, localization, motion control, and machine learning, which have become a research focus for many worldwide academy and industry institutes. However, there is still much open research challenge in technologies as well as collision detection and obstacles avoidance. In this work, we investigate how to effectively help drivers overcome the fatigue driving and avoid collisions. By leveraging the existing, Ultrasonic Sensor, Infrared (IR) Sensor and Li-Fi, Vehicle-to-Vehicle (V2V) Communication and machine learning technologies, we develop the Anti-Fatigue Decision Tree, Anti-Fatigue Detection and Enhanced Collision Avoidance Systems to accurately evaluate the current situation of the drivers and vehicles, and make timely response. Our prototype testing and analysis show that the proposed techniques are feasible and cost-effective.","{'operator type': ['driver'], 'data acquisition methods': ['ultrasonic sensor', 'infrared (ir) sensor', 'li-fi', 'vehicle-to-vehicle (v2v) communication']}",6,6
Classification of blink waveforms toward the assessment of driver's arousal levels - An EOG approach and the correlation with physiological measures,The goal of this research is to develop a method to assess the arousal states using facial images of drivers. This paper refers the preparatory study on the classification of blink waveforms obtained from electo-oculogram. The transitions of the distribution of classified blinks during a simulated driving task were studied for around fifty volunteers of both genders and a wide range of generations. It was shown that the blink class ratio supposed to be under the influence of not only the subject's drowsiness levels but also by his/her behavior to battle with drowsiness. The correlation with multidimensional physiological indices was also discussed.,"{'operator type': ['driver'], 'data acquisition methods': ['eog', 'facial image analysis']}",9,8
Driving Drowsiness Detection with EEG Using a Modified Hierarchical Extreme Learning Machine Algorithm with Particle Swarm Optimization: A Pilot Study,"Driving fatigue accounts for a large number of traffic accidents in modern life nowadays. It is therefore of great importance to reduce this risky factor by detecting the driver's drowsiness condition. This study aimed to detect drivers' drowsiness using an advanced electroencephalography (EEG)-based classification technique. We first collected EEG data from six healthy adults under two different awareness conditions (wakefulness and drowsiness) in a virtual driving experiment. Five different machine learning techniques, including the K-nearest neighbor (KNN), support vector machine (SVM), extreme learning machine (ELM), hierarchical extreme learning machine (H-ELM), and the proposed modified hierarchical extreme learning machine algorithm with particle swarm optimization (PSO-H-ELM), were applied to classify the subject's drowsiness based on the power spectral density (PSD) feature extracted from the EEG data. The mean accuracies of the five classifiers were 79.31%, 79.31%, 74.08%, 81.67%, and 83.12%, respectively, demonstrating the superior performance of our new PSO-H-ELM algorithm in detecting drivers' drowsiness, compared to the other techniques.","{'operator type': ['driver'], 'data acquisition methods': ['eeg']}",7,6
Respiration Rate Detection for In-Cabin Passenger Monitoring,"Driver fatigue is a major factor in road accidents. To enhance road safety, this study proposes a novel deep learning model for detecting drivers' respiration rates using a thermal camera, an essential parameter for assessing drowsiness levels. Our approach predicts respiration rates directly without signal extraction from facial regions of interest, simplifying the detection process and potentially improving drowsiness detection systems. We evaluate and explored the model using capabilities on the new data acquired in a simulated driving environment which is divided in two subsets i.e. non-noisy and noisy datasets. Additionally, we introduce a unique data augmentation technique to reduce over-fitting in deep learning models utilizing temporal data. The implementation of this respiration detection model may contribute to driver drowsiness detection systems and enhance road safety.","{'operator type': ['driver'], 'data acquisition methods': ['thermal camera']}",9,6
Robust Driver Fatigue Recognition Using Image Processing,"Driver fatigue causes serious damages amongst all other road accidents. Around 20% of fatal road accidents involve driver fatigue. This paper describes a modern approach which will detect driver fatigue considering most of the fatigue symptoms. Eye closure, yawning, head tilting is the major symptoms of fatigue behavior. Inattentive vehicle movement in the road under fatigue condition is also accountable for driver fatigue. The goal of this paper is to detect these symptoms for better driving condition in the road. These symptoms are monitored by two cameras. This paper proposes a robust system where facial expressions, head tilting and lane departure for fatigue will be detected collectively. Experimental results of the proposed method are compared with the previous method. The results show good accuracy and reliable performance to avoid road accidents compared to the previous method. The proposed system is very simple and avoids any complexity.","{'operator type': ['driver'], 'data acquisition methods': ['facial expressions', 'head tilting', 'lane departure']}",9,6
Learning Multimodal Representations for Drowsiness Detection,"Drowsiness detection is a crucial step for safe driving. A plethora of efforts has been invested on using pervasive sensor data (e.,g., video, physiology) empowered by machine learning to build an automatic drowsiness detection system. Nevertheless, most of the existing methods are based on complicated wearables (e.,g., electroencephalogram) or computer vision algorithms (e.,g., eye state analysis), which makes the relevant systems hardly applicable in the wild. Furthermore, data based on these methods are insufficient in nature due to limited simulation experiments. In this light, we propose a novel and easily implemented method based on full non-invasive multimodal machine learning analysis for the driver drowsiness detection task. The drowsiness level was estimated by self-reported questionnaire in pre-designed protocols. First, we consider involving environmental data (e.,g., temperature, humidity, illuminance, and further more), which can be regarded as complementary information for the human activity data recorded via accelerometers or actigraphs. Second, we demonstrate that the models trained by daily life data can still be efficient to make predictions for the subject performing in a simulator, which may benefit the future data collection methods. Finally, we make a comprehensive study on investigating different machine learning methods including classic `shallow' models and recent deep models. Experimental results show that, our proposed methods can reach 64.6% unweighted average recall for drowsiness detection in a subject-independent scenario.","{'operator type': ['driver'], 'data acquisition methods': ['environmental data', 'accelerometer', 'actigraph', 'video', 'physiology']}",5,5
Integrating lightweight YOLOv5s and facial 3D keypoints for enhanced fatigued-driving detection,"Several factors cause vehicle accidents during driving, such as driver negligence, drowsiness, and fatigue. These accidents can be prevented if drivers receive timely warnings. Additionally, recent advancements in computer vision and artificial intelligence (AI) have enabled the monitoring of drivers and the ability to alert them when they are not focused on driving. AI techniques can analyse key facial features, such as eye closure, yawning, and head movements, to assess the driver's level of sleepiness. In response to the growing concerns surrounding drowsy driving and its potential safety hazards, this study presents a comprehensive approach for detecting a driver's attention state using an enhanced version of the You Only Look Once (YOLOv5) algorithm. By leveraging critical facial landmarks and calculating the eye and mouth aspect ratios, the method effectively identifies signs of fatigue by establishing threshold values indicative of closed eyes and yawning. This work introduces an advanced YOLOv5 model integrated with Swin Transformer modules in the feature fusion network and refined backbone network feature extraction to detect driver drowsiness. Additionally, a real-time fatigued-driving detection model, built on an improved YOLOv5s architecture and incorporating Attention Mesh 3D key points, demonstrates superior effectiveness over conventional models. The proposed method achieves a notable 2.4% enhancement in mean average precision (mAP) compared to the baseline model through extensive experimentation on benchmark datasets. By combining YOLOv5 with facial 3D landmarks, the system benefits from the complementary strengths of both techniques, leading to more accurate and robust detection of fatigue-related cues and ultimately mitigating accidents caused by drowsy driving.","{'operator type': ['driver'], 'data acquisition methods': ['facial 3d keypoints', 'eye closure', 'yawning', 'head movements']}",7,6
