title,abstract,correlations
Towards formal verification of ASIP based on HDPN,"Verification is one of the most complex and expensive tasks in current Application Spec fie Instruction-set I Processor (ASIP) design process. Many existing approaches utilize a multi-level strategy to efficiently design and verify ASIP aiming to discover the flaws earlier This paper presents a verification approach based on HDPN (Hardware Design based-on Petri Net) and NuSMV. The validation of static properties, viz. structural and functional description of ASIP architecture, implements with HDPN, and the verification of dynamic properties, viz. logic design, implements with NuSMV In order to check the dynamic properties of HDPN-based models, a scheme of translating from a HDPN description into SMV is discussed in this paper. In addition, a DLX pipelined processor is presented to demonstrate the verification approach.",0
Sjogrens Systemic Clinical Activity Index (SCAI)a systemic disease activity measure for use in clinical trials in primary Sjgrens syndrome,"Objective. This article describes the development of the Sjgren's Systemic Clinical Activity Index (SCAI) for the measurement of systemic disease activity in patients with primary Sjgrens syndrome (PSS).Methods. A pilot tool was developed based on expert consensus and previous published data. One hundred and four patients with PSS were evaluated in a cross-sectional analysis, of whom 65 were reviewed at 3-monthly intervals, using this index, over a 12-month period. Factor analysis was used to evaluate the proposed domain structure. External validation was assessed by comparison with relevant domains of the Profile of Fatigue and Discomfort (PROFAD), Medical Outcomes Study Short Form-36 (SF-36) and The World Health Organization Quality of Life-Bref (WHOQOL-BREF). Sensitivity to change was assessed by comparing SCAI-derived flares with physician-designated disease flare and intention-to-treat analysis. A reliability and repeatability workshop was also held.Results. Factor analysis supported the proposed domain structure. There were strong correlations between the SCAI fatigue, musculoskeletal and Raynauds components and the PROFAD fatigue, arthralgia and vascular domains. There was a significant correlation between change in therapy and SCAI-defined flares (P = 0.01). The mean kappa-test results both for reliability of the SCAI and for physician repeatability were 0.71.Conclusion. This initial evaluation supports the potential for the SCAI as a tool for systemic activity assessment in patients with PSS but additional work is required to assess sensitivity to change in clinical therapeutic trials.",0
"Metabolic, immune and inflammatory responses to a repeated-sprint ability test using FT-IR spectrometry in single blood micro-samples: a pilot study","BACKGROUND: The repeated-sprint ability (RSA) plays a crucial role for determining success in many team sports. Unfortunately, several studies hypothesized that strenuous exercise could cause functional disorders or even some pathologies. These constraints are often associated to different physiological and metabolic disturbances that may reduce the sportive performance or even stop the activity. The purpose of this study was to examine the metabolic, immune and inflammatory responses to a repeated sprint test in trained subjects using a FT-IR spectrometry determination.METHODS: Eleven male football players were required to perform six sprints of six seconds each with 24 seconds of recovery between repetitions. Two blood samples were collected, before and immediately after effort, and 19 parameters related to metabolic, immune and inflammatory responses were assessed by FT-IR spectrometry.RESULTS: This study reported that the total work was positively correlated to the VO2max of subjects (r=0.74; P<0.05) and the lactate concentration (r=0.64; P<0.05). Our results noted also that glucose, lactate, protein, transferrin, Apo-Al, Apo-B, IgG, C-reactive protein, haptoglobin and orosomucoid concentrations increased; however, IgA and IgM concentrations decreased after multiple sprints (P<0.001 for lactate, and P<0.05 for the rest). No significant changes were noted in cholesterol, amino acids and albumin concentrations.CONCLUSIONS: Our data noted that the ability to sprint repeatedly with a short time interval of rest is related to the aerobic system's ability to resynthesize energy, and eliminate lactate during rest periods. Unfortunately, RSA-Test is often associated with different physiological and metabolic disturbances that may lead to a transit immuno-depressive period, and an inflammatory status.",0
"Physical activity, subjective sleep quality and time in bed do not vary by moon phase in German adolescents","Lunar periodicity in human biology and behaviour, particularly sleep, has been reported. However, estimated relationships vary in direction (more or less sleep with full moon) if they exist at all, and studies tend to be so small that there is potential for confounding by weekly or monthly cycles. Lunar variation in physical activity has been posited as a driver of this relationship, but is likewise not well studied. We explore the association between lunar cycle, sleep and physical activity in a population-based sample of 1411 Germans age 14-17years (46% male). Physical activity (daily minutes moderate-to-vigorous activity) was objectively assessed by accelerometry for a total of 8832days between 2011 and 2014. At the same time, time in bed (h) and subjective sleep quality (1-6) were diaried each morning. In models corrected for confounding, we found that lunar phase was not significantly associated with physical activity, subjective sleep quality or time in bed in either sex, regardless of season. Observed relationships varied randomly in direction between models, suggesting artefact. Thus, this large, objectively-measured and well-controlled population of adolescents displayed no lunar periodicity in objective physical activity, subjective sleep quality or time in bed.",0
Design and Implementation of a Driver's Eye State Recognition Algorithm Based on PERCLOS,"In order to improve the general detection accuracy of eye state, this paper puts forward an innovative method for judging human eye state based on PERCLOS. After pretreatment of the eye image, Hough transformation is used for ellipse detection and pupil position. The gray projection variance threshold analysis is then used to help make the final detection. Freeman chain and the Snake model algorithm are used for the corner detection and precise calculation of the height of an open eye. Thus the PERCLOS value and the eye state can be figured out. The performance of our eye state recognition algorithm is validated by more than 1000 images within product database. The statistics result shows that the fatigue detection accuracy rate can meet the need of usage in complex environment.",1
The International development of PROQOL-HCV: An instrument to assess the health-related quality of life of patients treated for Hepatitis C virus,"Background: Hepatitis C virus (HCV) compromises Health-related Quality of Life (HRQL) with detriments to Physical, Mental and Social health domains. Treatment with interferon and ribavirin is associated with side effects which further impair HRQL. New treatments appear potent, effective and tolerable. However, Patient Reported Outcomes instruments that capture the impact on HRQL for people with hepatitis C are largely non-specific and will be needed in the new treatment era. Therefore, we developed a conceptually valid multidimensional model of HCV-specific quality of life and pilot survey instrument, the Patient Reported Outcome Quality of Life survey for HCV (PROQOL-HCV).Methods: HCV patients from France (n = 30), Brazil (n = 20) and Australia (n = 20) were interviewed to investigate HCV-HRQL issues raised in the scientific literature and by treatment specialists. Interviews were recorded, transcribed and translated into English and French.Results: Fifteen content dimensions were derived from the qualitative analysis, refined and fitted to four domains: (1) Physical Health included: fatigue, pain, sleep, sexual impairment and physical activity; (2) Mental Health: psychological distress, psychosocial impact, and cognition; (3) Social Health: support, stigma, social activity, substance use; (4) Treatment: management, side effects, and fear of treatment failure. The impact of some dimensions extended beyond their primary domain including: physical activity, cognition, sleep, sexual impairment, and the three treatment dimensions. A bank of 300 items was constructed to reflect patient reports and, following expert review, reduced to a 72-item pilot questionnaire.Conclusion: We present a conceptually valid multidimensional model of HCV-specific quality of life and the pilot survey instrument, PROQOL-HCV. The model is widely inclusive of the experience of hepatitis C and the first to include the treatment dimension.",0
Optimized Green Operation of LTE Networks in the Presence of Multiple Electricity Providers,"Energy efficiency aspects in cellular networks can significantly contribute to the reduction of greenhouse gas emissions and help to save the environment. The base station (BS) sleeping strategy has become a well-known technique to achieve energy savings by switching off redundant BSs mainly for lightly loaded networks. Besides, introducing renewable energies as alternative power sources becomes a real challenge to network operators. In this paper, we propose a method that reduces the energy consumption of BSs by not only shutting down underutilized BSs but also by optimizing the amounts of energy procured from different retailers (Renewable energy and electricity retailers). We formulate an optimization problem that leads to the maximization of the profit of a Long-Term Evolution (LTE) cellular operator, and at the same time to the minimization of CO2 emissions in green wireless cellular networks without affecting the desired Quality of Service.",0
Morning Versus Evening Bright Light Treatment at Home to Improve Function and Pain Sensitivity for Women with Fibromyalgia: A Pilot Study,"Objective. To test the feasibility, acceptability, and effects of a home-based morning versus evening bright light treatment on function and pain sensitivity in women with fibromyalgia.Design. A single blind randomized study with two treatment arms: 6 days of a 1 hour morning light treatment or 6 days of a 1 hour evening light treatment. Function, pain sensitivity, and circadian timing were assessed before and after treatment.Setting. Participants slept at home, except for two nights in Sleep Center.Participants. Ten women meeting the American College of Rheumatology's diagnostic criteria for fibromyalgia, including normal blood test results.Methods. Self-reported function was assessed with the Fibromyalgia Impact Questionnaire (FIQ). Pain sensitivity was assessed using a heat stimulus that gave measures of threshold and tolerance. Circadian timing was assessed with the dim light melatonin onset.Results. Both morning and evening light treatments led to improvements in function and pain sensitivity. However, only the morning light treatment led to a clinically meaningful improvement in function (>14% reduction from baseline FIQ) and morning light significantly increased pain threshold more than evening light (P < 0.05). Phase advances in circadian timing were associated with an increase in pain tolerance (r = 0.67, P < 0.05).Conclusions. Bright light treatment appears to be a feasible and acceptable adjunctive treatment to women with fibromyalgia. Those who undergo morning light treatment may show improvements in function and pain sensitivity. Advances in circadian timing may be one mechanism by which morning light improves pain sensitivity. Findings can inform the design of a randomized controlled trial.",0
Image Acquisition of Drivers' Fatigue State Based On Fuzzy Evaluation,"The research on monitoring and predicting drivers' fatigue state has remarkable effect on prevention of traffic accidents, using the CCD image sensor camera as the image acquisition device of driver's face and the 940nm infrared emitting diode as the light supplementary device and 3-points light supplementary had been utilized, the light supplementary system had been optimized by the experiment of infrared light supplementary which proceeded by means of combining the orthogonal experiment and expert fuzzy evaluation. The research result makes great sense to the monitoring of drivers' fatigue state and traffic safety",1
Open-Loop Neurofeedback Audiovisual Stimulation: A Pilot Study of Its Potential for Sleep Induction in Older Adults,"This pilot study tested the efficacy of a 30-min audio-visual stimulation (AVS) program for the treatment of chronic insomnia in older adults. Chronic insomnia has been conceptualized as entailing increased cortical high frequency EEG activity at sleep onset and during NREM sleep. We hypothesized that an AVS program gradually descending from 8 to 1 Hz would potentially reduce the excessive cortical activation that is thought to contribute to difficulties with initiating and maintaining sleep. Accordingly, we conducted an intervention study of AVS using a pre-post design. Eight older adults (88 +/- A 8.7 years) complaining of chronic insomnia self-administered a 30-min AVS program nightly at bedtime for one month. Sleep was assessed at baseline and throughout the 4-week intervention. After using AVS for 4 weeks, significant improvement was reported in insomnia symptoms (ISI, p = 0.002) and sleep quality (PSQI, p = 0.004); with moderate to large effect sizes (Partial Eta2: 0.20-0.55)(Cohen's d: 0.7-2.3). The training effect (self-reported sleep improvement) was observed at the end of week one and persisted through the 1-month intervention. The results from this pilot study suggest that further exploration of AVS as a treatment for insomnia is warranted.",0
Vibroacoustic modulation method with arbitrary probe wave frequency based on machine learning algorithms,"The vibro-acoustic modulation (VAM) method assesses the integrity of a structure using modulation of a high-frequency probe wave and a low-frequency pump wave and measuring the modulation index. A large body of studies found that the modulation index could be used for the defection of contact-type defects in different materials. However, it was also found that the performance of this method is dependent on the probe wave frequency selection. To enhance the robustness of this method, researchers made efforts to modify the VAM method raising the complexity of the equipment and related operator skills, creating needs for extra preparation or procedures. All of these limits VAM potential for industrial application. To develop a robust, efficient, and fast VAM-based non-destructive testing method, the machine learning algorithm was employed. The algorithm utilises amplitude of the multiple sidebands of the modulation spectrum as feature variables and the structural integrity as target variables for training and testing the machine learning model. The experimental result shows that the fatigue crack could be detected with an arbitrary probe wave frequency using the applied machine learning approach.",0
Preliminary examination of the efficacy and safety of a standardized chamomile extract for chronic primary insomnia: A randomized placebo-controlled pilot study,"Background: Despite being the most commonly used herbal for sleep disorders, chamomile's (Matricaria recutita) efficacy and safety for treating chronic primary insomnia is unknown. We examined the preliminary efficacy and safety of chamomile for improving subjective sleep and daytime symptoms in patients with chronic insomnia.Methods: We performed a randomized, double-blind, placebo-controlled pilot trial in 34 patients aged 18-65 years with DSM-IV primary insomnia for >= 6-months. Patients were randomized to 270 mg of chamomile twice daily or placebo for 28-days. The primary outcomes were sleep diary measures. Secondary outcomes included daytime symptoms, safety assessments, and effect size of these measures.Results: There were no significant differences between groups in changes in sleep diary measures, including total sleep time (TST), sleep efficiency, sleep latency, wake after sleep onset (WASO), sleep quality, and number of awakenings. Chamomile did show modest advantage on daytime functioning, although these did not reach statistical significance. Effect sizes were generally small to moderate (Cohen's d <= 0.20 to < 0.60) with sleep latency, night time awakenings, and Fatigue Severity Scale (FSS), having moderate effect sizes in favor of chamomile. However, TST demonstrated a moderate effect size in favor of placebo. There were no differences in adverse events reported by the chamomile group compared to placebo.Conclusion: Chamomile could provide modest benefits of daytime functioning and mixed benefits on sleep diary measures relative to placebo in adults with chronic primary insomnia. However, further studies in select insomnia patients would be needed to investigate these conclusions.",0
Standardizing and personalizing the treat to target (T2T) approach for rheumatoid arthritis using the Patient-Reported Outcomes Measurement Information System (PROMIS): baseline findings on patient-centered treatment priorities,"A treat to target (T2T) approach to management has become the standard of care for patients with rheumatoid arthritis (RA). While consensus T2T recommendations call for patient involvement in the treatment process, the targets commonly used to drive therapeutic decisions involve limited patient input. A pilot study was developed to explore whether the Patient-Reported Outcomes Measurement Information System (PROMIS) could add value to the T2T approach by providing a way to bring patient goals into the process. We report here the baseline data from this study. RA patients from an academic rheumatology practice were recruited to participate in this 1-year study. Patients were asked to complete PROMIS computer-assisted testing at quarterly visits during the year. At baseline, they were asked to identify the PROMIS domain (Pain Interference, Fatigue, Depression, Physical Function, and Social Function) that felt most important to their quality of life. They were then asked to select five representative items from this domain, to be followed through the year. Complete baseline data was available for 119 patients. Most selected Physical Function (39%) or Pain Interference (37%) as their highest priority PROMIS domain. Sixty percent ranked Depression as their lowest priority domain. Younger patients more frequently prioritized Social Function, while older patients more frequently prioritized Fatigue. The incorporation of PROMIS questionnaires into routine clinic visits is a feasible mechanism for incorporating patient preferences into a T2T approach to managing RA.",0
Pilot Study of an Internet-Based Self-Management Program for Symptom Control in Patients With Early-Stage Breast Cancer.,"PURPOSE: Many survivors of breast cancer experience an array of chronic symptoms, including pain, insomnia, and fatigue. Few effective therapies have been identified. Behavioral management programs to address similar symptom clusters in other chronic conditions have been effective. The objective of this study was to determine the effect of an Internet-based lifestyle and behavioral self-management program on cancer-related symptoms.PATIENTS AND METHODS: Women with stage 0 to 3 breast cancer who reported insomnia, pain, or fatigue as their primary symptom of concern during the 7 days before enrollment were enrolled. Local therapies and/or chemotherapy were completed at least 3 months before enrollment. Patients were assessed at baseline and after 8 weeks, and they completed the Patient-Reported Outcomes Measurement Information System (PROMIS)-29 Profile and Patient Global Impression of Change (PGIC) questionnaire electronically. Change in each of the eight symptom domains was assessed.RESULTS: Fifty patients enrolled. In the 45 patients with both baseline and 8-week PROMIS data, statistically significant improvements in anxiety, sleep, fatigue, activity level, and pain severity were reported. Of the 35 patients who responded to the PGIC, 62.9% reported improvement in their primary symptom. Those who reported fatigue as their primary symptom reported greatest overall benefit in multiple symptom improvement, including improvements in fatigue, anxiety, pain severity, pain interference, and participation in social activities.CONCLUSIONS: These findings suggest that this lifestyle and behavioral management program may improve multiple symptoms in breast cancer survivors when delivered via the Internet. Randomized studies are warranted to evaluate the efficacy of the online intervention compared with standard symptom management approaches and to identify patients most likely to benefit.",0
Nanohybrid and microfilled hybrid versus conventional hybrid composite restorations: 5-year clinical wear performance,"The 5-year findings of a randomized clinical trial testing the null hypothesis that there are no differences between the clinical-wear performances of nano-, microfilled-, and conventional hybrids placed in class I and class II cavities are reported. Effects of subject-, operator-, and restoration-related variables on wear were assessed. Sixteen Tetric-C, 17 Tetric-EC, and 16 Gradia-DP restorations were placed in human molars and recalled at baseline, 6 months and at yearly intervals. The gypsum replicas at each recall were scanned (3D laser scanning), epoxy resin replicas were observed under scanning electron microscope and linear mixed models were used to study the influence of different variables on wear. The generalized vertical wear rate/month were (1.4 mu m Tetric-C and Tetric-EC; 1.8 mu m Gradia-DP) and volume wear rate/month were (0.017 mm(3) Tetric-EC; 0.018 mm(3) Gradia-DP, and 0.011 mm(3) Tetric-EC). Operator-cavity type interaction and surface area of restorations did significantly influence the volume wear rates (p < 0.05). The three wear patterns: fatigue cracks at heavy occlusal contact area/OCA, pitting at light OCA, and scratches/striations along the food escape pathways were evident. The three hybrids differed significantly in volume wear due to material and operator variables. Clinical relevance: Clinically, operators and cavity type can affect restorations' wear magnitude but do not contribute to increased functional risk of fracture or harmful effect on pulp and periodontal biocompatibility.",0
Recreational possibilities for seafarers during shipboard leisure time,"Purpose: This study is aiming to document the leisure time opportunities and their actual utilization on board merchant ships. Methods: A scientist examined the whole crew on board 22 container ships (323 seafarers; participation rate 88.5%). Data about energy consumption and heart rate were continuously collected during the seafarers' leisure and sleeping time through a SenseWear (R) wrist monitor and a Polar watch RS 800 worn for at least 2.5 days. Results: The seafarers spent an average of 28.2% of the day for leisure time activities and 32.6% for sleeping. A significantly higher energy consumption was found among deck ratings compared to engine room personnel and nautical officers. Across all occupational groups, the variability of the heart rate was lower during sleeping hours than during leisure time. Suggestions for substantial improvement of the leisure time opportunities on board included more frequent and free opportunities for telecommunication (59.1%), shorter work assignments, and a stronger cohesion of the crew. The following coping strategies were paramount: calming down/settling down (41.9%), getting in touch with the family (32.0%) and relaxing/sleeping (30.4%). Conclusions The limited heart rate variability during sleeping hours suggests a reduced quality of sleep that might be due to the permanent heaving motions of the vessel, noise, and vibration. The (deck) ratings had more physical activities that corresponded with their higher energy consumption during leisure time. Altogether, there is a need to optimize opportunities for relaxation and recreation on board, taking into consideration characteristics of the different occupational and ethnic groups.",0
Evening cortisol levels are prognostic for progression-free survival in a prospective pilot study of head and neck cancer patients,"Introduction Cortisol rhythm disruptions predict early mortality in renal, colorectal, lung, and metastatic breast cancer. In head and neck cancer (HNC), various cortisol indices are known to correlate with adverse psychological and biological (e.g., inflammatory) outcomes, but links to mortality have yet to be demonstrated. We hypothesize that the prognostic value of diurnal cortisol aberrations will hold in HNC. Prior work leads us to predict that flattened or elevated diurnal cortisol profiles will be associated with elevations of serum inflammatory and tumor-promoting cytokines in this population, and that these immune markers would themselves predict poor progression-free survival.Method We prospectively recruited a pilot sample of HNC patients (N=40) at a multidisciplinary HNC clinic. Most patients presented with late-stage oral/oropharyngeal cancer, were older than 50, male, and subsequently received combined-modality (surgery and/or radiotherapy with or without chemotherapy) treatment with curative intent. Saliva was collected twice daily for six days to assess diurnal slope, mean, waking, and evening cortisol levels. Serum was assayed for an exploratory panel of inflammatory and tumor-promoting cytokines. Two years post study-entry, disease progression and survivorship status were abstracted from medical records. Bivariate correlations, linear regressions, and Cox Proportional Hazards models tested hypotheses.Results Elevations of evening cortisol and diurnal mean levels were each associated with shorter progression-free survival (evening: Hazard Ratio [HR]=1.848, 95% Confidence Interval [CI]=1.057-3.230, p=.031; diurnal mean: HR=2.662, 95% CI=1.115-6.355, p=.027). Bivariate correlations revealed that higher levels of the serum inflammatory marker interferon (IFN)-gamma were linked with elevated evening (r=.405, p=.014) and mean (r=.459, p=.004) cortisol. Higher expression of IFN-gamma also predicted poorer progression-free survival (HR=4.671, 95% CI=1.409-15.484, p=.012).Discussion Elevated evening and diurnal mean cortisol were both prognostic; suggesting cortisol secretion is both dysregulated and elevated among patients who subsequently experienced accelerated disease progression. These exploratory data from 40 HNC patients mirror relationships between cortisol and survival identified among patients with numerous other tumor types. This pilot study highlights the need for research on effects of cortisol rhythm disruption among HNC patients. Future research in larger samples should also examine the role of inflammatory and tumor-promoting factors-both systemically and within the tumor microenvironment-as potential mediators of cortisol rhythm disruption.",0
Sleep in children with attention-deficit/hyperactivity disorder (ADHD) before and after 6-month treatment with methylphenidate: a pilot study,"Children with ADHD may present with sleep disturbances that add to the impairment of the disorder. The long-term sleep effects of the first-line pharmacological treatment for ADHD, i.e., psychostimulants, are unclear. In this pilot study, we compared polysomnographic variables in children with ADHD (n = 11, aged 6-15 years), before pharmacological treatment, and in children without ADHD (n = 22, aged 5-14 years); we also assessed polysomnographic changes in children with ADHD (n = 7) after a 6-month treatment with methylphenidate immediate-release (once or twice daily). Compared to children without ADHD, those with ADHD at baseline presented with significantly increased duration of awakenings (p = 0.02), reduction in sleep efficiency (p = 0.03), and increase in stage I (N1) (p < 0.01) and reduction in stage II (N2) (p = 0.02) and stage III-IV (N3) percentages. Methylphenidate treatment did not significantly change any parameter of sleep architecture.Conclusion: Preliminary evidence from this pilot study shows that, compared to children without ADHD, those with ADHD presented a more fragmented and less effective sleep at baseline and that the 6-month methylphenidate treatment did not further negatively impact on sleep architecture.",0
Escalating Doses of Transdermal Nicotine in Heavy Smokers Effects on Smoking Behavior and Craving,"Fixed-dose nicotine replacement therapy (NRT) is efficacious for smoking cessation in the general population of smokers. However, it is less effective in populations with psychiatric comorbidities and/or severe tobacco dependence where the percent nicotine replacement is suboptimal. The objective of this pilot study was to determine the effectiveness of nicotine patch dose titration in response to continued smoking in heavily dependent smokers with psychiatric comorbidity. In a single-arm, open-label study adult smokers (mean cigarettes per day, 25.4 +/- 13.4; range, 14-43; n = 12) willing to quit were treated with escalating doses of transdermal nicotine and brief counseling intervention if they continued to smoke over a 9-week treatment period. Plasma nicotine and cotinine, along with expired carbon monoxide levels, and the subjective effects of smoking, urge to smoke, demand elasticity, and mood symptoms were also assessed. The mean NRT dose was 32.7 (SD, 16.4) mg/d (range, 7-56 mg/d). Smokers reported significant reductions in both cigarettes per day (mean decrease, 18.4 +/- 11.5) confirmed by expired carbon monoxide (mean decrease, 13.5 +/- 13.0) with no significant changes in plasma nicotine concentrations during the course of NRT dose titration. There were significant effects on the subjective effects of smoking and measures of smoking behavior. Most commonly reported adverse events were respiratory infections, skin irritation at patch site, nausea, and sleep disturbances, which were generally mild and transient. Titrating doses of NRT to effect with brief intervention hold promise as an effective clinical strategy to assist heavily dependent psychiatrically ill smokers to change their smoking behavior.",0
Mobile Health-Based Health Literacy Weight Management Intervention Using Smart Devices for Adolescents: A Convergent Mixed-Methods Pilot Study,"This study aimed to develop and evaluate the feasibility of a mobile health-based health literacy weight management intervention program for adolescents during the COVID-19 pandemic. Therefore, a convergent mixed-method design was used. The GO! GO! Smart Healthy intervention development engaged multidisciplinary healthcare professionals, utilizing mobile health applications and smartwatches. Participants provided data on weight management, dietary habits, and health literacy via an mHealth app, while smartwatches collected objective information on physical activity and sleep. The 12-week pilot study was conducted from March to September 2021. It evaluated the program's feasibility, employing both quantitative and thematic analyses of focus group discussions for a comprehensive assessment. Of the 27 participants, 44.4% were overweight or obese, with insufficient physical activity reported. Thematic analysis identified three main themes: empowerment, self-awareness and self-regulation, and self-comparison and reflection. Adolescents engaged with smartwatches, demonstrated increased awareness, altruistic behavior, and satisfaction. After integrating mixed-method data, revisions ensured the program's alignment with participants' preferences. Despite pandemic disruptions, mHealth apps ensured uninterrupted research, showcasing technology's evolving role in healthcare and education. Iterative feedback with participants ensured program suitability, fostering effectiveness.Trial Registration: : NCT04759716",0
Maintenance Scheduling Optimization in a Multiple Production Line Considering Human Error,"An analytical multiobjective maintenance planning model that maximizes reliability while minimizing cost and human error is proposed. In order to incorporate human error, the model minimizes the maximum human error over the planning horizon. Human Error Assessment and Reduction Technique (HEART) is used to quantify the human error. Maintenance activities include adjustment and replacement activities, in which each of them consumes a certain amount of human resource, spare parts, and budget and brings about a specified level of reliability and human error. Economic dependence is also considered, in which grouping maintenance activities reduces total cost. However, this may increase human error probability due to operator fatigue or time pressure. The main purpose is to investigate the relationship between human factors and maintenance activities to find the preferred maintenance plan. A multiple production line is considered as a case study. A sensitivity analysis is performed, and the effects of grouping and human factors on the preferred maintenance plan are discussed. It is shown how human proficiency may affect reliability and cost.",0
Inspiratory airflow dynamics during sleep in irritable bowel syndrome: a pilot study,"Purpose This study is a preliminary test of the hypothesis that the pathophysiology of irritable bowel syndrome (IBS) derives from pharyngeal collapse during sleep.Materials and methods We studied inspiratory airflow dynamics during sleep in 12 lean females with IBS and 12 healthy female controls matched for age and obesity. A standard clinical polysomnogram (airflow measured with a nasal/oral pressure catheter) was performed to assess the impact of pharyngeal collapse on the participants' natural sleep. A second polysomnogram with a pneumotachograph and a supraglottic pressure catheter to measure airflow and effort was performed to compare the maximal inspiratory airflow and effort and the prevalence of inspiratory airflow limitation (IFL) during supine stage 2 sleep between groups.Results During clinical polysomnography, IBS participants did not differ significantly from controls in sleep architecture or respiration. The difference in apnea-hypopnea index between IBS participants and controls, however, approached statistical significance (2.8+/-2.7 vs 1.1+/-1.5, respectively; p=0.079). Although nine of the 12 IBS participants had a prevalence of IFL of at least 33% during supine stage 2 sleep, they did not differ from controls in maximal inspiratory airflow, inspiratory effort, or the prevalence of IFL. Controls, however, differed from IBS participants in having their prevalence of IFL during stage 2 sleep positively correlated with age (r=0.86; p=0.0003) while IBS participants demonstrated no relationship between the prevalence of IFL and age.Conclusions Our findings, while less than definitive, suggest a prevalence pattern of pharyngeal collapse during sleep among females with IBS that differs from that of healthy females, providing necessary background to inform further work on the relationship of pharyngeal collapse during sleep to IBS.",0
A Multimodal System for Assessing Alertness Levels Due to Cognitive Loading,"This paper proposes a scheme for assessing the alertness levels of an individual using simultaneous acquisition of multimodal physiological signals and fusing the information into a single metric for quantification of alertness. The system takes electroencephalogram, high speed image sequence, and speech data as inputs. Certain parameters are computed from each of these measures as indicators of alertness and a metric is proposed using a fusion of the parameters for indicating alertness level of an individual at an instant. The scheme has been validated experimentally using standard neuropsychological tests, such as the Visual Response Test (VRT), Auditory Response Test (ART), a Letter Counting (LC) task, and the Stroop Test. The tests are used both as cognitive tasks to induce mental fatigue as well as tools to gauge the present degree of alertness of the subject. Correlation between the measures has been studied and the experimental variables have been statistically analyzed using measures such as multivariate linear regression and analysis of variance. Correspondence of trends obtained from biomarkers and neuropsychological measures validate the usability of the proposed metric.",1
Structural health monitoring systems for bridge decks and rehabilitated precast prestress concrete beams,"Bridges are an integral part of a highway network and represent a multi-billion dollar investment. It is imperative that they are always open to traffic, resistant to natural disaster, and undaunted by millions of loading cycles per year. However, bridges are expensive to maintain and do occasionally fail. Early signs of deterioration are often not seen because concrete, some type of deck overlay, paint, protective wrap or other bridge components mask them.During service of bridge construction materials are subjected to degradation by aging; concrete cracks and creeps, steel oxides and may crack due to fatigue loading. The degradation of materials is caused by mechanical (loads higher then theoretically assumed) and physico-chemical factors (corrosion of steel, penetration of salts and chlorides in concrete, freezing of concrete etc.). As a consequence of material degradation, the capacity, durability and safety of structure decrease.Structural health monitoring is the diagnostic monitoring of the integrity or condition of a structure. The intent is to detect and locate damage or degradation in structural components and to provide this information quickly and in a form easily understood by the operators or occupants of the structure.In this study, a long-term structural health monitoring program was developed to identify any changes in the condition of the rehabilitated precast prestressed beams with CFRP over time due to sustained loads, traffic loads, and environmental exposure and to examine the performance of full-scale precast bridge deck under static and fatigue loading.",0
"Surveillance Monitoring Management for General Care Units: Strategy, Design, and Implementation.","BACKGROUND: The growing number of monitoring devices, combined with suboptimal patient monitoring and alarm management strategies, has increased alarm fatigue, which have led to serious consequences. Most reported alarm man- agement approaches have focused on the critical care setting. Since 2007 Dartmouth-Hitchcock (Lebanon, New Hamp- shire) has developed a generalizable and effective design, implementation, and performance evaluation approach to alarm systems for continuous monitoring in general care settings (that is, patient surveillance monitoring).METHODS: In late 2007, a patient surveillance monitoring system was piloted on the basis of a structured design and implementation approach in a 36-bed orthopedics unit. Beginning in early 2009, it was expanded to cover more than 200 inpatient beds in all medicine and surgical units, except for psychiatry and labor and delivery.RESULTS: Improvements in clinical outcomes (reduction of unplanned transfers by 50% and reduction of rescue events by more than 60% in 2008) and approximately two alarms per patient per 12-hour nursing shift in the original pilot unit have been sustained across most D-H general care units in spite of increasing patient acuity and unit occupancy. Sample analysis of pager notifications indicates that more than 85% of all alarm conditions are resolved within 30 seconds and that more than 99% are resolved before escalation is triggered.CONCLUSION: The D-H surveillance monitoring system employs several important, generalizable features to manage alarms in a general care setting: alarm delays, static thresholds set appropriately for the prevalence of events in this setting, directed alarm annunciation, and policy-driven customization of thresholds to allow clinicians to respond to needs of individual patients. The systematic approach to design, implementation, and performance management has been key to the success of the system.",0
You've Got a Friend in Me: Fostering Social Connection Among College Students Through Peer-Led Physical Activity.,"Social connection and physical activity (PA) are essential health behaviors necessary for young adults to thrive. The majority of college students in the United States are not meeting PA recommendations and simultaneously report concerning rates of loneliness, depression, anxiety, and fatigue; all factors that contribute to poor psychological well-being and reduce students' abilities to sustain academic success. These mental and physical health indicators have only worsened due to the stress, isolation, and uncertainty experienced during the COVID-19 pandemic. Fitness Buddies (FB) is a free peer-led PA program designed to combat loneliness, stress, anxiety, depression, and low PA, by providing students the opportunity to connect with one another through PA. FB participants are matched with a peer leader for weekly PA sessions based on activity interests and schedules. The FB program model shifts the focus of traditional PA programs, from prescribing and monitoring PA duration, intensity and modalities, to supporting psychological well-being through satisfaction of the three basic psychological needs of competence, autonomy, and relatedness within peer PA-based relationships. In the first pilot phase of implementation, students reported improved situational affect, to include reduced stress and anxiety, following participation in the FB program for one academic semester. Participants also reported the development of quality peer relationships and a sense of belonging to the campus community, both of which had previously been lacking. The FB program model is an innovative and cost-efficient strategy to supporting college students' psychological well-being and long-term success.",0
